filename,canonical_url,sha256
navanroad2014.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/d32013aa-f76d-4804-9b73-6ef35b803626/download/navanroad2014.zip,d223a267382448f65aba1bc30702d5c870c311459d63369f6197d8cb94509629
walkinstown2013.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/4d0167ab-e8cb-4c62-ab36-d9179356a8f0/download/walkinstown2013.zip,e5fe8cb4eaa6bbcabafc8c28a53120446daecfa9bae55f4a898e5b47fca44e6d
chancerypark2014.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/ce18a248-69b7-47df-8fd1-3b8262884c1d/download/chancerypark2014.zip,d223a267382448f65aba1bc30702d5c870c311459d63369f6197d8cb94509629
chancerypark2015.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/56c1ec36-95c4-4736-a106-acc415c6c01b/download/chancerypark2015.zip,d223a267382448f65aba1bc30702d5c870c311459d63369f6197d8cb94509629
walkinstown2012.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/38950e70-6321-4cde-aa25-82ddbafb6799/download/walkinstown2012.zip,8967b17b87eee8de4e1364bdc3366e71fb2763953d213d9f0b482f887c9f0380
navanroad2013.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/90671b88-8ce1-4379-a1ce-788a157d6fd2/download/navanroad2013.zip,d223a267382448f65aba1bc30702d5c870c311459d63369f6197d8cb94509629
blessingtonstbasin2014.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/78a3e2d1-063f-48d3-a233-1a60b54c4572/download/blessingtonstbasin2014.zip,cc45a11f3fb1d3c174dbf77166361180687ffb111ece0afd4d9a6f027728cb4c
ranelagh2014.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/9d3965b6-e4c9-456f-b983-688b957fc0b7/download/ranelagh2014.zip,006c0980df53eb9eb7ecd6e73cc222daf9568832da22a17170160d0cb5fe4d57
ringsend2012.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/8676bc7f-ac71-44a7-b5df-f921d236c53f/download/ringsend2012.zip,a347572a29a9c4b739f6eba7887b23b93bd92ebc2c708ce460423f343abde337
ballymun2013.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/033ad139-c207-4c64-bc0b-9daf2bdacb67/download/ballymun2013.zip,b422a30a47c000eb3289824f4316bc30400644ae70d5341b709f77c3ce59f4a3
ballymun2012.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/9ebf8773-fd92-4436-80a0-00bbdae8b74b/download/ballymun2012.zip,4a306cb23c53d7ba5cc46b01505247f25ce5cbf727e17f1388c561dcd3de6092
ringsend2013.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/e1262cf2-84f2-49ba-b4cb-b3a1f3182a08/download/ringsend2013.zip,85063aee9c845f4fe03880fbd7a7d3b1ceb0555b4b44d949607123e4cf2b4332
ranelagh2015.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/1392b99f-7004-4550-9fed-b1191da03b62/download/ranelagh2015.zip,701dedbedfd22577c654849a73e826bb9012a99e6eb6792a77a54c6bf7777ef9
blessingtonstbasin2015.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/c6023a06-c4e3-49c2-944b-c4e88bff1954/download/blessingtonstbasin2015.zip,6a57993f59cda1cbb07014c36f37a775025f1d360da35ea75482024c15716b2c
dccrowingclubsoundmeter2010p20110927-1515.ods,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/140b9df6-95eb-48b6-9539-310a4b2a6518/download/dccrowingclubsoundmeter2010p20110927-1515.ods,184fc6418cab9aa637cdcc6b91109b40454e21c53ed4e89cfa961f6c3cdc6e4f
navanroad2012.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/337b40f0-f995-4451-b207-47cf6be40600/download/navanroad2012.zip,d223a267382448f65aba1bc30702d5c870c311459d63369f6197d8cb94509629
ringsendscsoundmeter2010p20110927-1520.ods,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/1bfcde12-5f8d-427c-a16b-24128733432a/download/ringsendscsoundmeter2010p20110927-1520.ods,94f15eb4fe80a6aa2dc158ea9e1293509bcbef834a6debeef7f108e6f8d3dcac
dolphinsbarn2014.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/59a3ef90-2d32-4b88-9af7-fa68e3bed694/download/dolphinsbarn2014.zip,fd5be851d067c0ff3bbc41273ef4075f81a1d391f1fe8bccd994e976030f7f49
dolphinsbarn2015.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/eac42abc-9901-4245-b9e8-b69201c2232e/download/dolphinsbarn2015.zip,cb2cd70faf016ea890da7c45b039f7d0a0bade192de78d32d600c4f8b126da96
raheny2015.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/2cfd79c7-6d26-4beb-9fec-52eccc43a788/download/raheny2015.zip,4af8f30a5f12490f0bed545d6097005e5a9ffaffd21ea5c45f99bd766ff4f933
raheny2014.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/bd448765-c02c-4ef3-8548-23eeecfac4a2/download/raheny2014.zip,6d2e2d46b136bbc0685167be78e70bbf2dca7e7d9d7e8eae8c320c1d6cc8e40d
drumcondralibrarysoundmeter2010p20110927-1516.ods,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/02deb803-935a-402e-86de-196ae5111196/download/drumcondralibrarysoundmeter2010p20110927-1516.ods,cbb37886aaa24fe1d2dbb2c2f5a149d3120a57a712988c2b1beef82960a5ed53
ballymunlibrarysoundmeter2010p20110927-1514.ods,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/fef971ea-c018-47e2-828b-29ba07042b4d/download/ballymunlibrarysoundmeter2010p20110927-1514.ods,9a13d4e9844b09e27f58694ba90e14324800f37b59be9621636047510fdd6397
dolphinsbarn2013.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/d37ed090-f071-4d64-a1d5-58ea11f7fbb4/download/dolphinsbarn2013.zip,d223a267382448f65aba1bc30702d5c870c311459d63369f6197d8cb94509629
raheny2013.zip,https://data.smartdublin.ie/dataset/a52fbbe2-1bff-4897-84af-34945f6fc8de/resource/efc1ac3d-b150-4281-b226-9426dc221fce/download/raheny2013.zip,7c404bf78edbdf1721e5ff36980b6de9ebb4b90316422a1c21452f4140232ba1
